subject,node_modularity,node_num_nodes,node_num_edges,edge_modularity,edge_num_nodes,edge_num_edges,triangle_modularity,triangle_num_nodes,triangle_num_edges
154734,0.231951498249826,163,1865,0.485498886359342,677,7216,0.468000835978589,1018,9924
154835,0.218697476261515,231,2617,0.50729024286789,885,9254,0.543154276907337,1605,14629
154936,0.221397662984913,152,1856,0.492669776360715,574,6021,0.269680932480284,642,7071
156031,0.266268007226487,184,2241,0.50615596691205,751,7799,0.516849503773432,1063,10313
156233,0.156413931222105,99,1111,0.352700503054107,412,4344,0.265109007347768,602,6467
156334,0.173393686302629,188,2144,0.522221430533484,881,8995,0.495574602418519,1321,12918
156435,0.163914144470297,184,2234,0.340476524541668,688,7525,0.178832722966699,686,7599
156536,0.192080495953613,190,2319,0.276149720252887,525,5902,0.427880955641807,1184,10884
156637,0.183186057482944,86,996,0.335611862139027,466,5062,0.43239590308936,893,9191
157437,0.175139989027426,153,1712,0.332918559699332,479,5087,0.20079391100182,698,7677
157942,0.161926766085556,94,1035,0.557191582754329,765,7971,0.488696612056958,879,8562
158136,0.209122080526227,105,1268,0.32563903783293,347,3887,0.316856790771471,821,8123
158843,0.206326488441481,106,1294,0.443888322740299,549,5925,0.477084269358333,1017,9714
159138,0.183988584433176,110,1238,0.477907558800536,689,7377,0.309704325068831,648,6701
159239,0.225651828246993,155,1877,0.45369998305895,660,7204,0.54714868681415,1175,10774
159340,0.235645286181498,219,2551,0.447442379881544,666,6996,0.324788110733544,615,6447
159441,0.19849911533751,165,1858,0.405927437332778,538,5724,0.288391787520454,761,8377
159744,0.124737795014573,133,1486,0.405055413764328,576,6117,0.393612908832182,794,7803
160729,0.209074314285695,99,1201,0.422572318668968,753,8092,0.189389735355225,662,7413
160830,0.223373822485207,136,1625,0.420247967409083,576,5956,0.356031479919034,847,9292
161630,0.207695432646097,131,1632,0.388336004601397,416,4587,0.322368755447796,687,7196
162228,0.232916615850953,184,2289,0.421844508712608,564,6113,0.309562584537909,672,7051
162733,0.243556738008567,123,1573,0.474459182768752,589,6218,0.363693049866924,748,7948
163331,0.171273685164537,153,1697,0.257507205919011,297,3199,0.113057602524179,564,5967
163432,0.25830961692021,179,2210,0.416581983239449,498,5605,0.474502576147133,1132,11259
164030,0.231176839670475,215,2715,0.458882077945681,717,7866,0.38649746725704,998,10670
164131,0.15780831970868,82,928,0.441213186606304,721,7326,0.68799665147964,1564,11635
164636,0.11203375729665,140,1577,0.414389974674763,593,6461,0.462487455529398,1154,11531
164939,0.134091159146104,123,1365,0.359203626561576,556,6393,0.231352235136068,882,9608
167036,0.180939810966035,145,1716,0.392131939089485,594,6617,0.281889204508857,780,8358
167238,0.185958830102325,158,2003,0.425217159529691,725,7937,0.421483946324823,925,8922
167440,0.217292176012809,154,1928,0.343116277907727,517,5722,0.243201987605236,756,8352
167743,0.138696914886034,206,2459,0.283607730848845,614,6931,0.218115090344566,655,7187
168139,0.19752,158,2000,0.342151882968746,552,6248,0.585352347148455,1305,11722
168341,0.167950563925748,132,1435,0.442155151367179,593,6400,0.371368934761635,955,9610
168745,0.159623407035968,86,949,0.502584271230155,683,7069,0.42694655938922,856,8740
168947,0.286361195047416,233,3049,0.406866047052686,570,6208,0.583513761036518,1394,12277
169444,0.206673889626073,118,1443,0.447426204749536,690,7463,0.437077877671318,1317,12808
169545,0.165640016026703,100,1178,0.353398016744527,383,4285,0.339830398751966,644,7080
169949,0.213683798558351,127,1544,0.513347279949161,854,9147,0.481946282067003,1146,10631
171532,0.235925456628098,153,1953,0.418185182593499,686,7341,0.357269194591608,931,9593
172029,0.263445069204152,114,1360,0.423528456786763,503,5388,0.243527978564706,492,5667
172332,0.170512419229912,215,2456,0.4208521086346,782,8559,0.361520340071784,1168,12064
172433,0.237980021153067,157,1934,0.568070042840634,959,9754,0.368830224834322,1049,10285
172534,0.231989825007675,187,2265,0.408044856846764,694,7598,0.277446577062197,847,8925
172938,0.253901237732243,119,1377,0.433364532952622,643,6812,0.599105056085665,1433,12530
173435,0.142449473407309,162,1938,0.393276880865799,512,5685,0.351924255571246,1044,10781
173536,0.332391410761267,214,2521,0.555008218172551,885,9167,0.481289426849418,1197,11533
173637,0.19391173276746,154,1753,0.355034215876872,523,5705,0.182313313492775,368,4175
173940,0.153384680279336,103,1265,0.582327397866535,837,8436,0.49533977807181,881,7948
174841,0.180451023254571,142,1653,0.371313522736434,550,5846,0.146640708544801,588,6476
175338,0.211811952942477,131,1522,0.408204729445237,510,5554,0.286552458628126,729,7832
175742,0.21729322717498,111,1427,0.466797378740613,718,7667,0.318725637751111,716,8321
176542,0.190778258084313,182,2155,0.460658052632679,747,7847,0.410177504375899,1134,11442
177241,0.202132850897916,99,1107,0.43556426333293,584,6122,0.350805330080678,800,8443
177645,0.268669775178272,136,1703,0.41300536789947,567,6205,0.425296173810199,845,8536
178142,0.265072481131848,196,2304,0.381454950112877,502,5506,0.343401437783542,751,8098
178849,0.206762845448571,182,2272,0.465432489945238,736,7905,0.336177107850957,1092,10974
178950,0.192327547920402,146,1778,0.599184687669012,873,8600,0.524905736564281,1160,11557
179245,0.268685762938637,149,1827,0.421672750666991,618,6764,0.521536055152976,1219,11497
180129,0.191660788924298,194,2126,0.290943794670389,434,4682,0.18121997321876,496,5384
180432,0.224533623320216,116,1372,0.435676429732633,613,6706,0.39050806376971,783,8083
180533,0.206776756916251,226,2715,0.367225595901089,601,6700,0.234152151925231,676,7503
180735,0.197502043340756,138,1654,0.483994259240078,615,6348,0.275575112054092,745,8699
180836,0.186258412320111,156,1872,0.421087833598363,591,6398,0.264416409996432,719,7920
181232,0.278151906324959,140,1780,0.385149403672217,417,4594,0.282348996574391,834,8210
182739,0.240419281309272,171,1933,0.387635339067452,537,5875,0.271522361889414,546,6171
185038,0.216341344080238,157,1801,0.433658363919916,650,6931,0.255372648409595,828,9018
185341,0.218857234038519,114,1378,0.436351773720043,788,8232,0.45710370681446,1462,13166
185442,0.204294780598571,142,1654,0.497949416715199,731,7799,0.561848845180939,1145,10789
186040,0.248790670172643,217,2848,0.44051459137355,832,9173,0.306181350347152,819,9125
186141,0.228920076414988,109,1415,0.474034516644554,599,6245,0.347202361763991,611,6579
186444,0.158729198008869,165,2116,0.436474970717836,603,6413,0.313191145282679,892,9811
187143,0.209869184411648,146,1644,0.515322758406118,691,7146,0.636380870931953,1150,10400
188145,0.251209629588008,128,1443,0.593438472530568,763,7522,0.501223161853307,926,8570
189349,0.243825120425969,148,1682,0.340543073904007,514,5863,0.319178572629901,815,8906
189450,0.19487785975572,106,1270,0.305732212814613,539,5903,0.404599276836634,1236,11844
190031,0.314066756128825,271,3160,0.493950546983221,660,6922,0.405729769696178,892,9260
191033,0.145716650228434,124,1485,0.378085839231295,546,5957,0.283179367829397,778,8398
192035,0.219461347564982,146,1623,0.49839379688944,673,6793,0.40240717203656,771,7620
192136,0.218762382027101,116,1311,0.60800985430881,856,8835,0.665529553319161,1244,11584
192641,0.208543980414203,167,1827,0.379026007763913,451,5041,0.356765880805096,609,6140
194746,0.236595206597105,153,2031,0.398040967576423,572,6203,0.565711692521391,1192,10616
195041,0.286125710083266,152,1811,0.549246854143685,831,8648,0.434936241970008,990,9915
196144,0.26269727120983,140,1657,0.535003142691243,718,7697,0.420051385892019,936,9658
196346,0.196672216783355,110,1272,0.408932334442251,547,5958,0.460777849686098,1099,11041
196750,0.202051685584346,171,1961,0.408703868287884,631,6834,0.46147079523206,940,9533
197550,0.278541841722817,177,2175,0.4573261639153,670,7138,0.303810380133597,827,8641
198249,0.123022797572347,118,1332,0.347006559769309,435,4635,0.218376164320187,540,5665
198451,0.173114513201904,133,1522,0.355207355149445,432,4915,0.266780258685116,656,7307
198855,0.167024318817852,124,1401,0.378698442817935,441,4871,0.270413741876435,736,8214
199352,0.216170562694619,133,1510,0.464780015289325,817,8586,0.32878592735262,818,8433
199655,0.273441329462114,143,1823,0.650500488236622,872,8368,0.637795197916564,1110,9673
199958,0.248400757268212,154,1886,0.561220041891123,728,7498,0.362304442503482,1057,11085
200513,0.25772136953955,191,2310,0.3296689605279,515,5733,0.23295112955562,727,8060
200614,0.196372252348809,150,1804,0.502072106927829,715,7421,0.480815713740081,1199,11813
200917,0.217251980535754,93,1072,0.427760233962833,589,6191,0.341728363081066,573,6004
201414,0.278498050138347,129,1549,0.460031726732662,556,5996,0.254770121357519,615,6778
201818,0.2719616233503,184,2235,0.422185934820089,671,7537,0.532945446100829,1551,13698
